rank,player,team,league,pos_group,age,minutes,breakout_score,league_factor,overall,potential,ceiling,value_eur,npxg90,xa90,npga90,shots90,kp90,xgchain90,xgbuildup90,z_npxg90,z_xa90,z_npga90,z_shots90,z_kp90,z_xgchain90,z_xgbuildup90
1,Michael Olise,Bayern Munich,GER-Bundesliga,MF,23,2316,4.002,0.887,89.0,91.0,2.0,134000000.0,0.449,0.662,1.321,3.964,3.07,1.516,0.66,2.859,5.419,5.827,3.25,2.878,5.007,2.775
2,Nuno Mendes,PSG,FRA-Ligue 1,DF,23,1256,3.614,0.815,88.0,91.0,3.0,115500000.0,0.219,0.362,0.573,2.15,2.078,0.834,0.664,3.213,4.675,4.934,4.117,3.159,2.801,2.401
3,Lamine Yamal,Barcelona,ESP-La Liga,MF,18,2262,3.509,0.899,89.0,95.0,6.0,147000000.0,0.465,0.5,0.955,4.655,2.905,1.339,0.636,3.07,3.785,3.9,4.215,2.678,4.246,2.668
4,Rayan Cherki,Manchester City,ENG-Premier League,MF,21,1786,3.03,1.0,84.0,88.0,4.0,61500000.0,0.234,0.543,0.806,2.772,3.024,1.049,0.562,1.145,4.898,3.579,2.176,3.415,3.408,2.589
5,Tom Bischof,Bayern Munich,GER-Bundesliga,DF,20,1302,2.811,0.887,78.0,86.0,8.0,30500000.0,0.137,0.197,0.415,2.074,1.659,0.78,0.554,1.779,2.36,3.656,4.409,2.589,2.889,1.996
6,Nico O'Reilly,Manchester City,ENG-Premier League,DF,20,2646,2.482,1.0,81.0,86.0,5.0,35500000.0,0.229,0.131,0.272,1.395,0.782,0.722,0.503,4.497,1.514,2.424,2.921,0.82,3.106,2.091
7,Fermin López,Barcelona,ESP-La Liga,MF,22,1797,2.456,0.899,83.0,87.0,4.0,53000000.0,0.377,0.383,0.751,3.406,1.703,1.232,0.622,2.24,2.539,2.774,2.594,0.748,3.727,2.566
8,Lennart Karl,Bayern Munich,GER-Bundesliga,MF,17,1281,2.168,0.887,75.0,88.0,13.0,13000000.0,0.5,0.196,0.703,2.951,1.616,1.245,0.64,3.338,0.521,2.453,1.953,0.574,3.71,2.631
9,Jeremy Doku,Manchester City,ENG-Premier League,MF,23,1784,2.104,1.0,83.0,86.0,3.0,49500000.0,0.202,0.381,0.504,1.967,2.976,0.951,0.489,0.809,2.974,1.723,1.015,3.331,2.878,1.997
10,Alejandro Garnacho,Chelsea,ENG-Premier League,MF,21,1268,1.757,1.0,78.0,84.0,6.0,22500000.0,0.292,0.299,0.355,2.342,2.058,0.919,0.463,1.75,2.008,0.803,1.556,1.69,2.709,1.784
11,Arda Güler,Real Madrid,ESP-La Liga,MF,20,2014,1.624,0.899,83.0,89.0,6.0,56500000.0,0.215,0.395,0.581,2.19,3.128,0.72,0.388,0.721,2.671,1.832,1.017,3.037,1.24,0.853
12,Ansu Fati,Monaco,FRA-Ligue 1,MF,22,1093,1.598,0.815,75.0,81.0,6.0,9000000.0,0.679,0.157,0.659,3.541,1.235,1.065,0.332,4.484,-0.027,1.922,2.34,-0.189,2.433,0.219
13,Joško Gvardiol,Manchester City,ENG-Premier League,DF,23,1372,1.554,1.0,85.0,88.0,3.0,66000000.0,0.122,0.029,0.262,1.115,0.262,0.662,0.626,1.794,-0.451,2.299,1.986,-0.515,2.674,3.09
14,Mason Greenwood,Marseille,FRA-Ligue 1,MF,23,2462,1.554,0.815,83.0,86.0,3.0,49500000.0,0.302,0.279,0.621,4.24,2.047,0.852,0.46,1.271,1.158,1.735,3.163,0.994,1.492,1.065
15,Bukayo Saka,Arsenal,ENG-Premier League,FW,23,2222,1.547,1.0,87.0,89.0,2.0,103500000.0,0.322,0.346,0.446,2.876,2.511,0.774,0.326,-0.179,3.052,0.217,0.879,3.43,1.363,2.066
16,Pedri,Barcelona,ESP-La Liga,MF,22,2104,1.543,0.899,,,,,0.102,0.254,0.471,0.898,2.695,1.08,0.829,-0.34,1.17,1.222,-0.659,2.341,2.986,4.08
17,Kenan Yıldız,Juventus,ITA-Serie A,MF,20,2825,1.526,0.928,82.0,89.0,7.0,60500000.0,0.226,0.345,0.478,3.09,2.421,0.724,0.326,0.896,2.25,1.348,2.314,2.027,1.373,0.477
18,Yan Diomandé,RB Leipzig,GER-Bundesliga,FW,18,2472,1.515,0.887,81.0,89.0,8.0,54500000.0,0.292,0.366,0.728,1.93,2.075,1.073,0.525,-0.607,2.753,1.315,-0.789,1.934,2.32,3.677
19,Giorgio Scalvini,Atalanta,ITA-Serie A,DF,21,1808,1.508,0.928,78.0,86.0,8.0,29500000.0,0.192,0.079,0.199,0.996,0.697,0.615,0.504,3.219,0.401,1.3,1.347,0.472,2.016,1.799
20,Malo Gusto,Chelsea,ENG-Premier League,DF,22,2261,1.493,1.0,79.0,84.0,5.0,25000000.0,0.077,0.151,0.199,0.478,1.075,0.65,0.539,0.659,1.91,1.483,-0.146,1.571,2.589,2.385
21,Martin Baturina,Como,ITA-Serie A,MF,22,1569,1.482,0.928,79.0,84.0,5.0,27000000.0,0.109,0.384,0.516,1.606,3.499,0.68,0.405,-0.242,2.683,1.567,0.327,3.814,1.152,1.075
22,Karim Adeyemi,Dortmund,GER-Bundesliga,MF,23,1195,1.437,0.887,82.0,86.0,4.0,43500000.0,0.393,0.26,0.828,2.335,1.205,0.899,0.308,2.341,1.197,3.139,1.164,-0.078,2.051,0.241
23,Warren Zaïre-Emery,PSG,FRA-Ligue 1,DF,19,2447,1.434,0.815,83.0,89.0,6.0,55000000.0,0.076,0.157,0.257,0.699,1.545,0.77,0.612,0.273,1.463,1.622,0.161,2.044,2.426,2.052
24,Assan Ouédraogo,RB Leipzig,GER-Bundesliga,MF,19,948,1.417,0.887,74.0,87.0,13.0,10000000.0,0.267,0.286,0.665,2.563,1.329,0.791,0.543,1.171,1.463,2.245,1.457,0.119,1.533,1.93
25,Riccardo Calafiori,Arsenal,ENG-Premier League,DF,23,1699,1.399,1.0,82.0,86.0,4.0,40500000.0,0.184,0.034,0.159,1.695,0.477,0.432,0.347,3.357,-0.342,0.967,3.927,0.036,1.024,0.825
26,Francisco Conceição,Juventus,ITA-Serie A,MF,22,2078,1.384,0.928,79.0,86.0,7.0,35500000.0,0.368,0.18,0.346,3.162,1.819,0.812,0.413,2.265,0.443,0.598,2.41,1.029,1.811,1.132
27,Florian Wirtz,Liverpool,ENG-Premier League,MF,22,2378,1.339,1.0,87.0,91.0,4.0,116500000.0,0.287,0.204,0.303,1.93,2.271,0.781,0.407,1.697,0.875,0.482,0.961,2.07,1.963,1.323
28,Abde Ezzalzouli,Real Betis,ESP-La Liga,MF,23,2247,1.311,0.899,80.0,84.0,4.0,30000000.0,0.413,0.249,0.721,2.924,1.282,0.749,0.197,2.577,1.113,2.606,1.969,0.071,1.379,-0.54
29,Désiré Doué,PSG,FRA-Ligue 1,FW,20,1348,1.29,0.815,86.0,91.0,5.0,101000000.0,0.496,0.257,0.734,3.672,1.936,1.007,0.435,0.389,1.183,1.056,1.047,1.348,1.613,2.397
30,Can Uzun,Frankfurt,GER-Bundesliga,MF,19,1156,1.231,0.887,78.0,85.0,7.0,27500000.0,0.295,0.205,0.856,3.192,1.479,0.665,0.238,1.433,0.614,3.292,2.262,0.357,0.927,-0.264
31,Bradley Barcola,PSG,FRA-Ligue 1,FW,22,1743,1.23,0.815,84.0,88.0,4.0,61500000.0,0.602,0.247,0.62,3.408,1.962,1.068,0.393,0.982,1.069,0.543,0.738,1.395,1.881,2.001
32,Jesus Rodríguez,Como,ITA-Serie A,MF,19,1731,1.224,0.928,77.0,85.0,8.0,23000000.0,0.204,0.362,0.572,2.34,1.872,0.723,0.233,0.678,2.445,1.884,1.309,1.116,1.364,-0.227
33,Nicolás Paz,Como,ITA-Serie A,MF,20,2878,1.214,0.928,82.0,89.0,7.0,60500000.0,0.231,0.22,0.563,3.784,1.595,0.618,0.277,0.939,0.878,1.833,3.243,0.657,0.839,0.111
34,Eli Junior Kroupi,Bournemouth,ENG-Premier League,MF,19,1672,1.203,1.0,78.0,86.0,8.0,30500000.0,0.394,0.098,0.592,2.799,1.184,0.627,0.274,2.822,-0.381,2.262,2.215,0.128,1.132,0.242
35,Tiago Tomás,Stuttgart,GER-Bundesliga,MF,23,1020,1.143,0.887,76.0,82.0,6.0,12000000.0,0.488,0.111,0.706,3.088,0.971,0.737,0.237,3.226,-0.372,2.471,2.129,-0.449,1.273,-0.277
36,Hugo Ekitike,Liverpool,ENG-Premier League,FW,23,1803,1.126,1.0,85.0,88.0,3.0,74500000.0,0.596,0.124,0.749,3.245,1.048,0.815,0.244,1.705,0.017,1.879,1.408,0.166,1.582,1.125
37,Cole Palmer,Chelsea,ENG-Premier League,MF,23,1955,1.098,1.0,86.0,89.0,3.0,93000000.0,0.262,0.098,0.276,2.946,1.105,0.776,0.485,1.438,-0.381,0.319,2.428,-0.013,1.936,1.962
38,Ibrahim Maza,Leverkusen,GER-Bundesliga,MF,19,1849,1.085,0.887,79.0,87.0,8.0,38000000.0,0.293,0.214,0.341,2.58,1.363,0.873,0.472,1.414,0.706,0.479,1.478,0.172,1.923,1.422
39,Lazar Samardzic,Atalanta,ITA-Serie A,MF,23,1030,1.084,0.928,77.0,82.0,5.0,16000000.0,0.243,0.208,0.262,2.184,2.447,0.747,0.397,1.053,0.744,0.116,1.101,2.069,1.488,1.014
40,Alejandro Balde,Barcelona,ESP-La Liga,DF,21,1869,1.069,0.899,83.0,87.0,4.0,49500000.0,0.036,0.14,0.096,0.482,1.108,0.772,0.621,-0.473,1.411,0.036,-0.296,1.368,2.905,2.535
41,Jude Bellingham,Real Madrid,ESP-La Liga,MF,22,1916,1.02,0.899,89.0,93.0,4.0,150500000.0,0.363,0.143,0.47,2.396,1.691,0.656,0.393,2.113,-0.02,1.217,1.284,0.729,0.928,0.887
42,Bilal El Khannouss,Stuttgart,GER-Bundesliga,MF,21,1630,1.008,0.887,78.0,84.0,6.0,22500000.0,0.171,0.291,0.497,2.319,2.429,0.623,0.3,0.284,1.521,1.331,1.144,1.863,0.73,0.182
43,Endrick,Lyon,FRA-Ligue 1,FW,19,1215,0.997,0.815,78.0,89.0,11.0,30000000.0,0.423,0.337,0.815,3.63,2.222,0.825,0.161,-0.018,2.07,1.415,0.997,1.868,0.817,-0.172
44,Alejandro Francés,Girona,ESP-La Liga,DF,22,1116,0.982,0.899,75.0,80.0,5.0,8000000.0,0.053,0.116,0.161,1.29,0.806,0.489,0.449,-0.088,1.004,0.788,2.136,0.673,1.076,1.282
45,Matteo Ruggeri,Atlético Madrid,ESP-La Liga,DF,23,1774,0.979,0.899,78.0,82.0,4.0,19000000.0,0.011,0.201,0.152,0.254,1.268,0.645,0.535,-1.053,2.47,0.683,-0.981,1.739,2.08,1.913
46,Matìas Soulé,Roma,ITA-Serie A,MF,22,2139,0.968,0.928,79.0,85.0,6.0,28000000.0,0.197,0.188,0.463,2.188,1.893,0.667,0.4,0.61,0.522,1.262,1.106,1.152,1.087,1.034
47,Maximilian Beier,Dortmund,GER-Bundesliga,MF,22,2026,0.961,0.887,80.0,84.0,4.0,31000000.0,0.366,0.22,0.666,2.221,1.111,0.713,0.226,2.097,0.774,2.255,1.019,-0.227,1.157,-0.35
48,Ander Barrenetxea,Real Sociedad,ESP-La Liga,MF,23,1763,0.949,0.899,78.0,83.0,5.0,21000000.0,0.16,0.337,0.408,1.787,2.297,0.665,0.319,0.204,2.046,0.878,0.494,1.703,0.973,0.348
49,Martial Godo,Strasbourg,FRA-Ligue 1,MF,22,1584,0.938,0.815,74.0,82.0,8.0,9500000.0,0.489,0.128,0.625,2.33,1.25,0.869,0.288,2.868,-0.3,1.753,0.916,-0.167,1.567,-0.074
50,Amad Diallo,Manchester Utd,ENG-Premier League,MF,23,2341,0.936,1.0,80.0,85.0,5.0,32500000.0,0.22,0.217,0.192,2.076,1.538,0.718,0.386,1.003,1.032,-0.197,1.172,0.76,1.622,1.159
51,Ian Maatsen,Aston Villa,ENG-Premier League,DF,23,1605,0.925,1.0,79.0,84.0,5.0,24500000.0,0.073,0.166,0.056,1.121,1.402,0.285,0.209,0.547,2.196,-0.356,2.008,2.41,-0.03,-0.299
52,Yéremy Pino,Crystal Palace,ENG-Premier League,MF,22,2080,0.916,1.0,79.0,86.0,7.0,35500000.0,0.189,0.368,0.173,1.947,2.077,0.583,0.198,0.678,2.818,-0.315,0.986,1.723,0.89,-0.369
53,Quentin Merlin,Rennes,FRA-Ligue 1,DF,23,2533,0.896,0.815,76.0,82.0,6.0,11000000.0,0.066,0.16,0.213,0.924,1.67,0.426,0.31,0.056,1.499,1.158,0.775,2.306,0.418,0.057
54,Pablo Pagis,Lorient,FRA-Ligue 1,MF,22,1756,0.886,0.815,73.0,81.0,8.0,7000000.0,0.321,0.244,0.666,3.024,2.204,0.521,0.148,1.436,0.812,1.96,1.732,1.222,0.037,-1.0
55,Lucas Beraldo,PSG,FRA-Ligue 1,DF,21,1567,0.874,0.815,78.0,83.0,5.0,19500000.0,0.078,0.087,0.172,0.804,0.804,0.648,0.613,0.316,0.355,0.729,0.448,0.494,1.712,2.062
56,Rayan,Bournemouth,ENG-Premier League,MF,18,1111,0.868,1.0,78.0,88.0,10.0,29500000.0,0.216,0.225,0.567,2.268,1.134,0.513,0.229,0.96,1.127,2.108,1.449,0.039,0.516,-0.124
57,Giuliano Simeone,Atlético Madrid,ESP-La Liga,MF,22,2099,0.826,0.899,82.0,86.0,4.0,44500000.0,0.262,0.237,0.429,1.544,1.243,0.796,0.388,1.158,0.984,0.991,0.178,0.01,1.606,0.852
